country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Greece,94.74596443,94.56292029,94.83612026,94.39760852,95.7001889,94.97225999,95.58043796,96.17815003,96.63051869,94.56338072,94.05584414,94.32196258,94.16119401,94.2701135,93.85006004,93.46299999,93.51094723,94.08694815,94.17983504,94.59119325,94.38734266,94.07165972,93.98922592,93.78909658,93.41671079,92.89229521,93.02043364,92.76660562,92.3568748,90.36634837,90.83018538,90.11895937,88.00607925
India,41.56263579,43.16177639,43.99363659,45.3171251,47.36185935,48.38906783,49.82000737,51.38602816,52.94729639,53.89999119,55.0634924,56.2099099,56.91071492,58.11505153,59.99909071,60.93381542,61.81607504,62.21071254,63.48164413,63.76279627,63.76662546,64.4219213,64.52782165,65.69248482,66.13372541,66.9591625,67.97879967,69.05659877,71.25375311,71.55700801,71.40734548,72.36518808,72.44396304
Indonesia,47.08411225,47.13009318,46.66360993,47.70853495,48.56540959,52.4409985,52.18210842,51.85334242,53.60227537,53.44506032,54.82556907,55.71590042,59.08858971,57.48333093,60.60496778,61.52062525,62.05508971,60.67208798,62.2182232,61.95736177,61.45865612,62.54821436,62.43678539,64.3074867,64.98364199,65.16039741,64.56373748,63.7830396,65.15996362,66.6972089,65.4340989,66.30953716,65.92821879
Iraq,99.17557713,99.29274207,99.41352067,99.41788777,99.47344867,99.54115911,98.42892893,98.7041382,98.81303704,98.74872314,99.38779496,99.65021896,99.75338154,99.790535,99.7752151,99.7716814,99.80459584,99.7203349,99.62999515,99.67958006,99.7080229,99.72624957,99.73585797,99.34510814,97.74436235,96.74956699,97.16473607,97.84130306,97.58156426,97.39449851,97.43939768,97.3015436,97.33002648
Italy,93.35108724,92.58894558,92.52218785,91.61572111,91.81477521,91.45783237,93.38343377,92.90484374,93.29463062,93.43818883,92.89537208,92.58124189,92.27029006,92.08793745,93.02465207,92.61465541,92.44346418,92.28589095,91.84137185,91.73009539,91.39325511,91.52462602,91.34161083,90.87769044,91.06687402,90.62392035,90.69449555,89.95419143,87.54907262,86.4833846,84.9995344,82.20138211,79.9643667
Japan,90.74452145,88.51455278,87.43145523,87.10336968,84.96822914,84.56660031,83.4724417,84.73903951,84.91936201,84.50493041,83.82548986,83.93059658,82.36787977,82.63582619,81.39635905,81.13236613,80.23816218,79.23569584,80.4505244,80.52614054,80.42660705,81.65101863,84.06593637,82.47747266,81.41282421,81.26639889,83.28584743,82.99255116,81.01586756,80.87392837,89.70511012,94.53680328,94.57254619
Korea,94.23608622,94.40522484,94.52884351,94.58479377,94.50670458,94.25604107,93.85855103,93.59510049,93.54233887,93.08860022,92.88730556,92.07253149,91.64576079,90.63293697,89.86262835,89.17157857,89.67865696,89.13749094,89.76591755,90.45489209,90.56717781,90.12492776,89.83704464,89.70140566,89.81569661,90.08915272,87.98892582,88.73478549,89.24093043,88.22522002,84.1793918,84.24506819,84.29891299
Malaysia,84.69817677,84.60982624,86.37087953,85.4582271,85.22100685,86.42534958,85.75630698,85.80010136,87.01870563,88.00428413,89.99612437,90.75887183,91.11716137,90.47635286,91.13096264,92.05665284,93.39014962,92.82409748,92.25778257,93.16749773,93.30252727,93.70289211,94.08746032,94.34433511,95.00514006,94.7910615,95.11673629,94.93071566,94.6546174,94.83331814,94.74808428,94.63233402,94.80248375
Norway,54.84309783,54.06293828,52.95456055,52.90660572,52.15408157,55.48632705,53.79633919,51.78077124,53.37572015,52.05300531,52.94426708,53.59207829,54.75819233,53.37244596,53.03265044,52.44803398,54.53997761,54.03449739,55.19582227,54.34401885,55.6288596,53.50723748,58.87639597,55.87579016,54.96068672,56.65873952,56.16238549,61.64575104,63.07965728,62.99851439,57.29384391,57.773238,61.94828732
Portugal,85.40409818,85.28487465,85.33380441,84.55017052,81.4042336,84.21853763,83.11159139,82.13302383,84.2266215,80.4466775,80.59660962,83.56345603,81.96160608,80.82210984,83.17811229,80.55177441,81.02220836,83.49736504,86.50723681,84.03616853,83.3853754,85.25673275,81.77346366,82.756091,84.12212742,80.81644951,79.24096733,78.63693907,78.08815373,75.12727156,75.65903757,75.11342875,73.69231674
Singapore,,99.97874023,99.9890952,,,99.02495302,99.08380711,99.17368074,99.17411865,99.39173803,98.45369745,98.63717517,98.91348873,99.08535267,98.92792229,98.9728572,99.08527704,98.98800802,98.88756527,98.91780933,98.16821256,98.15511935,98.40424176,98.71369415,98.17112737,98.30136458,98.12869974,98.24675267,97.93274159,97.68803286,97.70145037,97.61271379,97.42943829
South Africa,89.88170228,90.50629182,90.2656956,89.34912924,88.77537664,88.04374173,88.55550626,87.16735249,85.75874843,86.15600715,86.27079087,85.15415756,86.6501108,86.15283213,86.30137004,84.99355588,84.90715771,84.45705296,84.65273181,84.24342648,85.6780845,84.89834277,86.02328015,86.99483553,87.15671805,87.11379816,87.71745546,88.14866881,87.67566973,87.46124141,87.1672856,87.24495755,86.71496062
United States,90.83194655,90.0431205,89.45506708,88.90104144,88.30166868,87.65663266,87.37781446,87.07723872,87.09328724,86.43783832,85.69473785,85.57482233,86.11796479,85.91212906,85.46933598,85.51006132,86.45649442,86.08659433,85.78460105,85.88083054,86.34598091,86.24908436,86.27838541,86.12431287,86.01853539,85.62647253,85.61470833,84.9682249,84.15424323,84.14449791,83.68643616,83.70290787,83.27109002
Vietnam,28.1979227,29.4613686,30.67859134,30.05025452,29.57039682,31.2544782,33.44224757,32.26292514,28.05897198,27.62789723,26.82560313,28.10543211,30.36653496,33.61244562,37.03708171,39.58945312,42.450669,44.66937137,44.47201564,46.27348735,47.91381219,52.27151552,53.51507155,58.26328476,60.53286039,60.72421328,62.72987523,64.56385219,66.79639429,70.32817751,68.2042811,1243.452255,1305.577683
